Título,Duración,Dificultad,Ingredientes
Tarta de chocolate con plátano y nata,2h 10min,medio,"['Huevos', 'Sal', 'Mantequilla', 'Azúcar', 'HarinaDeRepostería', 'Cacao', 'Levadura', 'AvellanaMolida', 'ChocolateNegro', 'NataLíquida', 'Azúcar', 'Plátanos', 'ZumoDeLimón', 'Harina', 'Mantequilla', 'Cacao']"
Tarta La viña,40min,fácil,"['Queso', 'CremaDe', 'Nata', 'Azúcar', 'Harina', 'Huevos']"
Salsa bechamel,22min,fácil,"['Mantequilla', 'HarinaDeRepostería', 'Leche', 'Sal', 'Pimienta', 'NuezMoscada', 'ZumoDeLimón']"
Tarta de limón con merengue,1h 40min,medio,"['HarinaDeRepostería', 'Azúcar', 'Sal', 'Mantequilla', 'Limón', 'Huevos', 'Azúcar', 'AzúcarAvainillado', 'HarinaDeRepostería', 'Merengue', 'ClarasDeHuevo', 'Sal', 'Azúcar', 'Mantequilla', 'HarinaDeRepostería']"
Rollitos de ternera con torta de patata,10h 18min,medio,"['Patatas', 'Sal', 'Alcaravea', 'Mantequilla', 'Pimienta', 'Ternera', 'Col', 'Sal', 'Pimienta', 'Mantequilla', 'Ternera', 'Tomillo', 'NataLíquida', 'ZumoDeLimón', 'NuezMoscada', 'Maicena']"
Ensalada mediterránea de calabacín con nueces,20min,fácil,"['Nueces', 'AceiteDeOliva', 'Cebollas', 'Ajo', 'Calabacín', 'Tomates', 'Aceite', 'VinagreBalsámico', 'Mozzarella', 'Albahaca', 'Sal', 'Pimienta', 'Lechuga']"
"Torta de camembert, peras y puerro",50min,fácil,"['Huevos', 'Leche', 'HarinaDeEspelta', 'CrémorTártaro', 'Sal', 'Pimienta', 'Pera', 'Puerro', 'Camembert', 'AceiteVegetal', 'Mantequilla']"
Panzerotti con jamón y queso,1h 15min,fácil,"['Leche', 'Levadura', 'Levadura', 'Azúcar', 'Mantequilla', 'Huevo', 'Harina', 'Sal', 'Mozzarella', 'JamónCocido', 'Tomate', 'HierbasAromáticas', 'Sal', 'Pimienta', 'HarinaDeRepostería', 'AceiteVegetal']"
Mermelada de melocotón y uva,35min,fácil,"['Melocotón', 'Uvas', 'Azúcar']"
Bol de salmón con aliño de aguacate y lima,28min,fácil,"['Aguacate', 'Lima', 'Cilantro', 'Aguacate', 'Lima', 'Yogur', 'Sal', 'Pimienta', 'Guindilla', 'ArrozBasmati', 'Sal', 'Edamame', 'Rabanitos', 'Mango', 'Cebolletas', 'SemillasDeSésamo', 'Negro', 'SalmónAhumado']"
Pan de semillas sin gluten,9h 5min,fácil,"['Pan', 'AceiteDeCoco', 'JarabeDeArce', 'PipasDeGirasol', 'Linaza', 'Almendras', 'Avena', 'SemillasDeChía', 'CáscaraDePsylliumMolida', 'Sal']"
Bizcocho de chocolate con crema de mascarpone (low carb),4h 5min,medio,"['ChocolateNegro', 'AceiteDeCoco', 'Huevos', 'AzúcarDeAbedul', 'HarinaDeArroz', 'GomaDeGarrofín', 'Bicarbonato', 'Gelatina', 'QuarkDesnatado', 'Vainilla', 'Mascarpone', 'AzúcarDeAbedul', 'Mantequilla', 'PanRallado']"
Malfatti en mantequilla de salvia,1h 23min,medio,"['Queso', 'Parmesano', 'Espinacas', 'Cebolla', 'Ajo', 'AceiteDeOliva', 'Ricota', 'HarinaDeRepostería', 'Huevos', 'Sal', 'Pimienta', 'Mantequilla', 'Salvia']"
Rollitos de acelga,1h 17min,fácil,"['Chalotes', 'OrejonesDeAlbaricoque', 'AceiteDeOliva', 'ArrozArborio', 'CaldoDeVerduras', 'Sal', 'Pimienta', 'CominoMolido', 'Acelga']"
